,filename,label
0,datasets\faces\123456789456\123456789456_1.png,123456789456
1,datasets\faces\123456789456\123456789456_10.png,123456789456
2,datasets\faces\123456789456\123456789456_11.png,123456789456
3,datasets\faces\123456789456\123456789456_12.png,123456789456
4,datasets\faces\123456789456\123456789456_13.png,123456789456
5,datasets\faces\123456789456\123456789456_14.png,123456789456
6,datasets\faces\123456789456\123456789456_15.png,123456789456
7,datasets\faces\123456789456\123456789456_16.png,123456789456
8,datasets\faces\123456789456\123456789456_17.png,123456789456
9,datasets\faces\123456789456\123456789456_18.png,123456789456
10,datasets\faces\123456789456\123456789456_19.png,123456789456
11,datasets\faces\123456789456\123456789456_2.png,123456789456
12,datasets\faces\123456789456\123456789456_20.png,123456789456
13,datasets\faces\123456789456\123456789456_3.png,123456789456
14,datasets\faces\123456789456\123456789456_4.png,123456789456
15,datasets\faces\123456789456\123456789456_5.png,123456789456
16,datasets\faces\123456789456\123456789456_6.png,123456789456
17,datasets\faces\123456789456\123456789456_7.png,123456789456
18,datasets\faces\123456789456\123456789456_8.png,123456789456
19,datasets\faces\123456789456\123456789456_9.png,123456789456
20,datasets\faces\1339900662224\1339900662224_1.png,1339900662224
21,datasets\faces\1339900662224\1339900662224_10.png,1339900662224
22,datasets\faces\1339900662224\1339900662224_11.png,1339900662224
23,datasets\faces\1339900662224\1339900662224_12.png,1339900662224
24,datasets\faces\1339900662224\1339900662224_13.png,1339900662224
25,datasets\faces\1339900662224\1339900662224_14.png,1339900662224
26,datasets\faces\1339900662224\1339900662224_15.png,1339900662224
27,datasets\faces\1339900662224\1339900662224_16.png,1339900662224
28,datasets\faces\1339900662224\1339900662224_17.png,1339900662224
29,datasets\faces\1339900662224\1339900662224_18.png,1339900662224
30,datasets\faces\1339900662224\1339900662224_19.png,1339900662224
31,datasets\faces\1339900662224\1339900662224_2.png,1339900662224
32,datasets\faces\1339900662224\1339900662224_20.png,1339900662224
33,datasets\faces\1339900662224\1339900662224_3.png,1339900662224
34,datasets\faces\1339900662224\1339900662224_4.png,1339900662224
35,datasets\faces\1339900662224\1339900662224_5.png,1339900662224
36,datasets\faces\1339900662224\1339900662224_6.png,1339900662224
37,datasets\faces\1339900662224\1339900662224_7.png,1339900662224
38,datasets\faces\1339900662224\1339900662224_8.png,1339900662224
39,datasets\faces\1339900662224\1339900662224_9.png,1339900662224
40,datasets\faces\korawit\img0.jpg,korawit
41,datasets\faces\korawit\img1.jpg,korawit
42,datasets\faces\korawit\img10.jpg,korawit
43,datasets\faces\korawit\img11.jpg,korawit
44,datasets\faces\korawit\img12.jpg,korawit
45,datasets\faces\korawit\img13.jpg,korawit
46,datasets\faces\korawit\img14.jpg,korawit
47,datasets\faces\korawit\img15.jpg,korawit
48,datasets\faces\korawit\img16.jpg,korawit
49,datasets\faces\korawit\img17.jpg,korawit
50,datasets\faces\korawit\img18.jpg,korawit
51,datasets\faces\korawit\img19.jpg,korawit
52,datasets\faces\korawit\img2.jpg,korawit
53,datasets\faces\korawit\img20.jpg,korawit
54,datasets\faces\korawit\img21.jpg,korawit
55,datasets\faces\korawit\img22.jpg,korawit
56,datasets\faces\korawit\img23.jpg,korawit
57,datasets\faces\korawit\img24.jpg,korawit
58,datasets\faces\korawit\img25.jpg,korawit
59,datasets\faces\korawit\img26.jpg,korawit
60,datasets\faces\korawit\img27.jpg,korawit
61,datasets\faces\korawit\img28.jpg,korawit
62,datasets\faces\korawit\img29.jpg,korawit
63,datasets\faces\korawit\img3.jpg,korawit
64,datasets\faces\korawit\img30.jpg,korawit
65,datasets\faces\korawit\img31.jpg,korawit
66,datasets\faces\korawit\img32.jpg,korawit
67,datasets\faces\korawit\img33.jpg,korawit
68,datasets\faces\korawit\img34.jpg,korawit
69,datasets\faces\korawit\img35.jpg,korawit
70,datasets\faces\korawit\img36.jpg,korawit
71,datasets\faces\korawit\img37.jpg,korawit
72,datasets\faces\korawit\img38.jpg,korawit
73,datasets\faces\korawit\img39.jpg,korawit
74,datasets\faces\korawit\img4.jpg,korawit
75,datasets\faces\korawit\img40.jpg,korawit
76,datasets\faces\korawit\img41.jpg,korawit
77,datasets\faces\korawit\img42.jpg,korawit
78,datasets\faces\korawit\img43.jpg,korawit
79,datasets\faces\korawit\img44.jpg,korawit
80,datasets\faces\korawit\img45.jpg,korawit
81,datasets\faces\korawit\img46.jpg,korawit
82,datasets\faces\korawit\img47.jpg,korawit
83,datasets\faces\korawit\img48.jpg,korawit
84,datasets\faces\korawit\img49.jpg,korawit
85,datasets\faces\korawit\img5.jpg,korawit
86,datasets\faces\korawit\img6.jpg,korawit
87,datasets\faces\korawit\img7.jpg,korawit
88,datasets\faces\korawit\img8.jpg,korawit
89,datasets\faces\korawit\img9.jpg,korawit
